n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
20,0,2185,19,0,0,0,0,0.137718,8.94798,0.00923238
20,0,1151,19,0,0,0,0,0.0999304,6.28143,0.00923238
20,0,1615,18,0,0,0,0,0.118387,6.28143,0.00923238
20,0,1511,20,0,0,0,0,0.114509,6.28143,0.00923238
20,0,2339,19,0,0,0,0,0.142677,8.95964,0.00923238
20,0,3021,20,0,0,0,0,0.162161,8.95964,0.00923238
20,0,2015,19,0,0,0,0,0.132248,6.28143,0.00923238
20,0,2239,20,0,0,0,0,0.13941,8.94798,0.00923238
20,0,1107,19,0,0,0,0,0.0980001,6.28143,0.00923238
20,0,945,20,0,0,0,0,0.0905392,4.3964,0.00923238
20,0,1251,20,0,0,0,0,0.104185,6.28143,0.00923238
20,0,1241,18,0,0,0,0,0.103767,6.28143,0.00923238
20,0,2611,17,0,0,0,0,0.15075,8.95964,0.00923238
20,0,1061,17,0,0,0,0,0.0959405,6.28143,0.00923238
20,0,1145,20,0,0,0,0,0.0996694,6.28143,0.00923238
20,0,619,16,0,0,0,0,0.0731647,4.39067,0.00923238
20,0,2377,19,0,0,0,0,0.143832,8.95964,0.00923238
20,0,1069,19,0,0,0,0,0.0963019,6.28143,0.00923238
20,0,2433,20,0,0,0,0,0.145518,8.95964,0.00923238
20,0,3375,20,0,0,0,0,0.171404,8.95964,0.00923238
21,0,4191,20,0,0,0,0,0.195733,13.704,0.0130566
21,0,3327,20,0,0,0,0,0.174385,9.64043,0.0130566
21,0,1457,18,0,0,0,0,0.115222,6.75881,0.0130566
21,0,1915,20,0,0,0,0,0.132109,6.75881,0.0130566
21,0,909,21,0,0,0,0,0.0909912,4.73061,0.0130566
21,0,1387,19,0,0,0,0,0.112418,6.75881,0.0130566
21,0,1287,21,0,0,0,0,0.108286,6.75881,0.0130566
21,0,2157,21,0,0,0,0,0.140213,9.62788,0.0130566
21,0,1273,20,0,0,0,0,0.107695,6.75881,0.0130566
21,0,1947,21,0,0,0,0,0.133209,6.75881,0.0130566
21,0,2723,19,0,0,0,0,0.157755,9.64043,0.0130566
21,0,2251,20,0,0,0,0,0.143424,9.64043,0.0130566
21,0,3429,21,0,0,0,0,0.177039,9.64043,0.0130566
21,0,797,16,0,0,0,0,0.0851959,4.73061,0.0130566
21,0,1099,18,0,0,0,0,0.100059,6.75881,0.0130566
21,0,1347,15,0,0,0,0,0.110784,6.75881,0.0130566
21,0,1835,20,0,0,0,0,0.129318,6.75881,0.0130566
21,0,2203,17,0,0,0,0,0.141886,9.64043,0.0130566
21,0,1695,19,0,0,0,0,0.124284,6.75881,0.0130566
21,0,3189,21,0,0,0,0,0.170728,9.64043,0.0130566
21,0,1725,19,0,0,0,0,0.125379,6.75881,0.0130566
21,0,1475,21,0,0,0,0,0.115932,6.75881,0.0130566
21,0,3655,21,0,0,0,0,0.182783,9.64043,0.0130566
21,0,2413,19,0,0,0,0,0.148499,9.64043,0.0130566
21,0,1469,20,0,0,0,0,0.115696,6.75881,0.0130566
21,0,1737,20,0,0,0,0,0.125815,6.75881,0.0130566
21,0,2733,18,0,0,0,0,0.158045,9.64043,0.0130566
21,0,1929,19,0,0,0,0,0.132591,6.75881,0.0130566
21,0,1629,17,0,0,0,0,0.121838,6.75881,0.0130566
21,0,1945,21,0,0,0,0,0.13314,6.75881,0.0130566
22,0,2273,22,0,0,0,0,0.147518,10.3376,0.0184648
22,0,2941,21,0,0,0,0,0.167812,10.3376,0.0184648
22,0,2515,19,0,0,0,0,0.155176,10.3376,0.0184648
22,0,1109,21,0,0,0,0,0.102881,7.24772,0.0184648
22,0,2981,21,0,0,0,0,0.16895,10.3376,0.0184648
22,0,1723,19,0,0,0,0,0.128257,7.24772,0.0184648
22,0,993,20,0,0,0,0,0.0973467,5.07289,0.0184648
22,0,3659,22,0,0,0,0,0.187189,10.3376,0.0184648
22,0,3221,21,0,0,0,0,0.175623,10.3376,0.0184648
22,0,1583,18,0,0,0,0,0.122933,7.24772,0.0184648
22,0,3817,21,0,0,0,0,0.19119,10.3376,0.0184648
22,0,1599,19,0,0,0,0,0.123553,7.24772,0.0184648
22,0,3011,21,0,0,0,0,0.169798,10.3376,0.0184648
22,0,3369,22,0,0,0,0,0.179614,10.3376,0.0184648
22,0,1239,17,0,0,0,0,0.108748,7.24772,0.0184648
22,0,2333,22,0,0,0,0,0.149453,10.3376,0.0184648
22,0,3375,21,0,0,0,0,0.179774,10.3376,0.0184648
22,0,4447,22,0,0,0,0,0.206372,14.6949,0.0184648
22,0,1417,22,0,0,0,0,0.116304,7.24772,0.0184648
22,0,2523,20,0,0,0,0,0.155423,10.3376,0.0184648
22,0,2299,21,0,0,0,0,0.148359,10.3376,0.0184648
22,0,2497,22,0,0,0,0,0.15462,10.3376,0.0184648
22,0,3663,20,0,0,0,0,0.187291,10.3376,0.0184648
