n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
22,0,4529,22,2,2,3044,22,0.208267,14.6949,0.00102049
22,0,3507,22,4,4,1250,22,0.183258,10.3376,0.000701655
22,0,2725,22,4,4,430,22,0.161529,10.3376,0.000701655
22,0,2205,22,2,2,1309,22,0.145293,10.3376,0.00102049
22,0,3971,22,6,6,2291,22,0.19501,10.3376,0.000566597
22,0,3195,22,14,14,2442,22,0.174912,10.3376,0.000366507
22,0,5517,22,32,32,1579,22,0.229873,14.6949,0.000242034
22,0,1653,22,6,6,1448,22,0.125623,7.24772,0.000566597
22,0,3021,22,3,3,1091,22,0.17008,10.3376,0.000818048
22,0,2575,22,12,17,1073,22,0.157018,10.3376,0.000332348
22,0,3165,22,4,4,1480,22,0.174089,10.3376,0.000701655
22,0,6019,22,39,39,1723,22,0.240108,14.6949,0.00021928
22,0,5927,22,10,10,418,22,0.238265,14.6949,0.000435167
22,0,3857,22,4,4,1108,22,0.192189,10.3376,0.000701655
22,0,2899,22,2,2,549,22,0.166609,10.3376,0.00102049
22,0,2147,22,18,18,471,22,0.143368,10.3376,0.00032265
22,0,6385,22,6,6,601,22,0.247303,14.6949,0.000566597
22,0,1693,22,9,9,35,22,0.127135,7.24772,0.000459274
22,0,2381,22,56,56,166,22,0.150984,10.3376,0.000183445
22,0,2363,22,9,9,1534,22,0.150411,10.3376,0.000459274
22,0,5993,22,4,4,3161,22,0.239588,14.6949,0.000701655
22,0,3293,22,25,25,1022,22,0.177576,10.3376,0.000273535
22,0,2453,22,12,12,1308,22,0.153251,10.3376,0.000396586
22,0,1377,22,1,1,457,22,0.114649,7.24772,0.00151415
22,0,2933,22,110,110,1061,22,0.167583,10.3376,0.000131951
22,0,4289,22,9,16,1699,21,0.202671,14.6949,0.000342635
22,0,2893,22,17,17,275,22,0.166436,10.3376,0.000332348
23,0,5333,23,4,4,2423,23,0.231087,15.7087,0.000987805
23,0,5493,23,29,29,137,23,0.234529,15.7087,0.000356297
23,0,7141,23,4,4,3948,23,0.267767,15.7291,0.000987805
23,0,4261,23,31,31,43,23,0.20655,15.7087,0.000344637
23,0,2147,23,15,15,414,23,0.146592,11.0509,0.000497198
23,0,5919,23,14,14,3154,23,0.243457,15.7087,0.000514934
23,0,5837,23,6,6,1746,23,0.241764,15.7087,0.000797503
23,0,2501,23,1,1,2019,23,0.158224,11.0509,0.00213585
23,0,4277,23,68,69,351,23,0.206938,15.7087,0.000231662
23,0,6329,23,2,2,1548,23,0.251751,15.7087,0.00143859
